Time,Milliseconds,OLE Automation Date,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
14:32:21,14,46146.60579878434,0.003069305559620261,3.1755661964416504,0.006865393836051226,-55.4984130859375,-6.7560415573098e-07,-1.0468164646226796e-06
14:32:21,118,46146.60579998332,0.0029401781503111124,1.999998688697815,0.005785749759525061,-55.4984130859375,-6.7560415573098e-07,-1.0468164646226796e-06
14:32:21,228,46146.605801258345,0.002878570696339011,1.999994158744812,0.005720081739127636,-55.4984130859375,-6.7560415573098e-07,-1.0468164646226796e-06
14:32:21,367,46146.60580286087,0.0029151916969567537,2.411593437194824,0.007030257023870945,-55.4984130859375,-6.761551389899978e-07,-1.0468164646226796e-06
14:32:21,574,46146.605805257626,0.0030448914039880037,3.4776854515075684,0.010589174926280975,-55.4984130859375,-6.761551389899978e-07,-1.0468164646226796e-06
14:32:21,719,46146.60580693795,0.0030288698617368937,3.9021105766296387,0.011608356609940529,-55.4984130859375,-6.761551389899978e-07,-1.0548698128332035e-06
14:32:21,822,46146.605808130334,0.002996444934979081,3.9020957946777344,0.011692414991557598,-55.4984130859375,-6.761551389899978e-07,-1.0548698128332035e-06
14:32:21,959,46146.605809715744,0.002953910967335105,3.175840377807617,0.009550152346491814,-55.4984130859375,-6.761551389899978e-07,-1.0548698128332035e-06
14:32:22,150,46146.60581193121,0.0029901505913585424,2.533503532409668,0.007575557101517916,-55.4984130859375,-6.761551389899978e-07,-1.0548698128332035e-06
14:32:22,295,46146.60581360132,0.00288734445348382,1.9999734163284302,0.00256105768494308,-55.4984130859375,-6.70348299536272e-07,-1.0548698128332035e-06
14:32:22,399,46146.60581480468,0.0027740478981286287,0.8244271278381348,0.002297850325703621,-55.4984130859375,-6.70348299536272e-07,-1.0548698128332035e-06
14:32:22,584,46146.60581694972,0.0027732851449400187,0.09978675842285156,0.0002767371479421854,-55.4984130859375,-6.70348299536272e-07,-1.0548698128332035e-06
14:32:22,726,46146.60581859565,0.00274066929705441,0.09787869453430176,0.00026802910724654794,-55.4984130859375,-6.70348299536272e-07,-1.0502498071218724e-06
14:32:22,870,46146.60582026551,0.002749633975327015,0.13198018074035645,0.0022693148348480463,-55.4984130859375,-6.70348299536272e-07,-1.0502498071218724e-06
14:32:22,974,46146.60582146505,0.0027912140358239412,0.8244249820709229,0.0023011465091258287,-55.4984130859375,-6.70348299536272e-07,-1.0502498071218724e-06
14:32:23,167,46146.605823700986,0.00283737201243639,1.999996542930603,0.005674734245985746,-55.4984130859375,-6.70348299536272e-07,-1.0502498071218724e-06
14:32:23,319,46146.605825451996,0.0028867723885923624,2.7053165435791016,0.007973720319569111,-55.4984130859375,-6.848865723441122e-07,-1.0502498071218724e-06
14:32:23,463,46146.605827123654,0.0030389786697924137,3.1770267486572266,0.011463455855846405,-55.4984130859375,-6.848865723441122e-07,-1.0502498071218724e-06
14:32:23,567,46146.6058283257,0.0029304504860192537,3.9021286964416504,0.011501176282763481,-55.4984130859375,-6.848865723441122e-07,-1.0502498071218724e-06
14:32:23,767,46146.605830642824,0.00299167656339705,3.9020750522613525,0.01167374663054943,-55.4984130859375,-6.848865723441122e-07,-1.0510974561839248e-06
14:32:23,910,46146.605832302404,0.002983284182846546,3.507108211517334,0.010462700389325619,-55.4984130859375,-6.848865723441122e-07,-1.0510974561839248e-06
14:32:24,15,46146.60583351522,0.00303821568377316,3.175605058670044,0.009648173116147518,-55.4984130859375,-6.848865723441122e-07,-1.0510974561839248e-06
14:32:24,167,46146.605835266266,0.003024292178452015,2.1668362617492676,0.006325835827738047,-55.4984130859375,-6.848865723441122e-07,-1.0510974561839248e-06
14:32:24,374,46146.60583767295,0.0028371813241392374,1.9999885559082031,0.002570218639448285,-55.4984130859375,-6.781472166039748e-07,-1.0510974561839248e-06
14:32:24,518,46146.605839339616,0.002748489612713456,0.7442140579223633,0.0020377994515001774,-55.4984130859375,-6.781472166039748e-07,-1.0510974561839248e-06
14:32:24,622,46146.60584054192,0.0027334215119481087,0.09786677360534668,0.00026751114637590945,-55.4984130859375,-6.781472166039748e-07,-1.0510974561839248e-06
14:32:24,759,46146.605842120975,0.002731514163315296,0.0978996753692627,0.0002650428796187043,-55.4984130859375,-6.781472166039748e-07,-1.047939804266207e-06
14:32:24,950,46146.60584433703,0.0027032853104174137,0.13203644752502441,0.002240589587017894,-55.4984130859375,-6.781472166039748e-07,-1.047939804266207e-06
14:32:25,95,46146.60584600913,0.002820015186443925,1.308512806892395,0.0036900260020047426,-55.4984130859375,-6.781472166039748e-07,-1.047939804266207e-06
14:32:25,198,46146.60584720691,0.0028215409256517887,1.9999916553497314,0.005643058102577925,-55.4984130859375,-6.781472166039748e-07,-1.047939804266207e-06
14:32:25,335,46146.60584878905,0.002815437503159046,1.9999761581420898,0.00960376113653183,-55.4984130859375,-6.886376127113181e-07,-1.047939804266207e-06
14:32:25,543,46146.60585119519,0.0030525207985192537,3.176928758621216,0.011366584338247776,-55.4984130859375,-6.886376127113181e-07,-1.047939804266207e-06
14:32:25,687,46146.60585286072,0.002964210696518421,3.9021058082580566,0.011566664092242718,-55.4984130859375,-6.886376127113181e-07,-1.047939804266207e-06
14:32:25,790,46146.605854058056,0.0029422761872410774,3.902117967605591,0.011481109075248241,-55.4984130859375,-6.886376127113181e-07,-1.047939804266207e-06
14:32:25,966,46146.60585609509,0.002963257022202015,3.279017925262451,0.00951350200921297,-55.4984130859375,-6.886376127113181e-07,-1.045163571689045e-06
